RowNumber,CustomerId,Surname,Geography,Gender,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
43,15687946,Osborne,France,Female,556,61,2,117419.35,1,1,1,94153.83,stay
44,15755196,Lavine,France,Female,834,49,2,131394.56,1,0,0,194365.76,leave
45,15684171,Bianchi,Spain,Female,660,61,5,155931.11,1,1,1,158338.39,stay
46,15754849,Tyler,Germany,Female,776,32,4,109421.13,2,1,1,126517.46,stay
47,15602280,Martin,Germany,Female,829,27,9,112045.67,1,1,1,119708.21,leave
48,15771573,Okagbue,Germany,Female,637,39,9,137843.8,1,1,1,117622.8,leave
49,15766205,Yin,Germany,Male,550,38,2,103391.38,1,0,1,90878.13,stay
50,15771873,Buccho,Germany,Female,776,37,2,103769.22,2,1,0,194099.12,stay
51,15616550,Chidiebele,Germany,Male,698,44,10,116363.37,2,1,0,198059.16,stay
52,15768193,Trevisani,Germany,Male,585,36,5,146050.97,2,0,0,86424.57,stay
53,15683553,O'Brien,France,Female,788,33,5,0,2,0,0,116978.19,stay
54,15702298,Parkhill,Germany,Male,655,41,8,125561.97,1,0,0,164040.94,leave
55,15569590,Yoo,Germany,Male,601,42,1,98495.72,1,1,0,40014.76,leave
56,15760861,Phillipps,France,Male,619,43,1,125211.92,1,1,1,113410.49,stay
57,15630053,Tsao,France,Male,656,45,5,127864.4,1,1,0,87107.57,stay
58,15647091,Endrizzi,Germany,Male,725,19,0,75888.2,1,0,0,45613.75,stay
59,15623944,T'ien,Spain,Female,511,66,4,0,1,1,0,1643.11,leave
60,15804771,Velazquez,France,Male,614,51,4,40685.92,1,1,1,46775.28,stay
61,15651280,Hunter,Germany,Male,742,35,5,136857,1,0,0,84509.57,stay
62,15773469,Clark,Germany,Female,687,27,9,152328.88,2,0,0,126494.82,stay
63,15702014,Jeffrey,Spain,Male,555,33,1,56084.69,2,0,0,178798.13,stay
64,15751208,Pirozzi,Spain,Male,684,56,8,78707.16,1,1,1,99398.36,stay
65,15592461,Jackson,Germany,Male,603,26,4,109166.37,1,1,1,92840.67,stay
66,15789484,Hammond,Germany,Female,751,36,6,169831.46,2,1,1,27758.36,stay
67,15696061,Brownless,Germany,Female,581,34,1,101633.04,1,1,0,110431.51,stay
68,15641582,Chibugo,Germany,Male,735,43,10,123180.01,2,1,1,196673.28,stay
69,15638424,Glauert,Germany,Female,661,35,5,150725.53,2,0,1,113656.85,stay
70,15755648,Pisano,France,Female,675,21,8,98373.26,1,1,0,18203,stay
71,15703793,Konovalova,Germany,Male,738,58,2,133745.44,4,1,0,28373.86,leave
72,15620344,McKee,France,Male,813,29,6,0,1,1,0,33953.87,stay
73,15812518,Palermo,Spain,Female,657,37,0,163607.18,1,0,1,44203.55,stay
74,15779052,Ballard,Germany,Female,604,25,5,157780.84,2,1,1,58426.81,stay
75,15770811,Wallace,France,Male,519,36,9,0,2,0,1,145562.4,stay
76,15780961,Cavenagh,France,Female,735,21,1,178718.19,2,1,0,22388,stay
77,15614049,Hu,France,Male,664,55,8,0,2,1,1,139161.64,stay
78,15662085,Read,France,Female,678,32,9,0,1,1,1,148210.64,stay
79,15575185,Bushell,Spain,Male,757,33,5,77253.22,1,0,1,194239.63,stay
80,15803136,Postle,Germany,Female,416,41,10,122189.66,2,1,0,98301.61,stay
81,15706021,Buley,France,Female,665,34,1,96645.54,2,0,0,171413.66,stay
82,15663706,Leonard,France,Female,777,32,2,0,1,1,0,136458.19,leave
83,15641732,Mills,France,Female,543,36,3,0,2,0,0,26019.59,stay
84,15701164,Onyeorulu,France,Female,506,34,4,90307.62,1,1,1,159235.29,stay
85,15738751,Beit,France,Female,493,46,4,0,2,1,0,1907.66,stay
86,15805254,Ndukaku,Spain,Female,652,75,10,0,2,1,1,114675.75,stay
87,15762418,Gant,Spain,Male,750,22,3,121681.82,1,1,0,128643.35,leave
88,15625759,Rowley,France,Male,729,30,9,0,2,1,0,151869.35,stay
89,15622897,Sharpe,France,Female,646,46,4,0,3,1,0,93251.42,leave
90,15767954,Osborne,Germany,Female,635,28,3,81623.67,2,1,1,156791.36,stay
91,15757535,Heap,Spain,Female,647,44,5,0,3,1,1,174205.22,leave
92,15731511,Ritchie,France,Male,808,45,7,118626.55,2,1,0,147132.46,stay
93,15809248,Cole,France,Female,524,36,10,0,2,1,0,109614.57,stay
94,15640635,Capon,France,Male,769,29,8,0,2,1,1,172290.61,stay
95,15676966,Capon,Spain,Male,730,42,4,0,2,0,1,85982.47,stay
96,15699461,Fiorentini,Spain,Male,515,35,10,176273.95,1,0,1,121277.78,stay
97,15738721,Graham,Spain,Male,773,41,9,102827.44,1,0,1,64595.25,stay
98,15693683,Yuille,Germany,Male,814,29,8,97086.4,2,1,1,197276.13,stay
99,15604348,Allard,Spain,Male,710,22,8,0,2,0,0,99645.04,stay
100,15633059,Fanucci,France,Male,413,34,9,0,2,0,0,6534.18,stay
101,15808582,Fu,France,Female,665,40,6,0,1,1,1,161848.03,stay
102,15743192,Hung,France,Female,623,44,6,0,2,0,0,167162.43,stay
103,15580146,Hung,France,Male,738,31,9,82674.15,1,1,0,41970.72,stay
104,15776605,Bradley,Spain,Male,528,36,7,0,2,1,0,60536.56,stay
105,15804919,Dunbabin,Spain,Female,670,65,1,0,1,1,1,177655.68,leave
106,15613854,Mauldon,Spain,Female,622,46,4,107073.27,2,1,1,30984.59,leave
107,15599195,Stiger,Germany,Male,582,32,1,88938.62,1,1,1,10054.53,stay
108,15812878,Parsons,Germany,Female,785,36,2,99806.85,1,0,1,36976.52,stay
109,15602312,Walkom,Spain,Male,605,33,5,150092.8,1,0,0,71862.79,stay
110,15744689,T'ang,Germany,Male,479,35,9,92833.89,1,1,0,99449.86,leave
111,15803526,Eremenko,Germany,Male,685,30,3,90536.81,1,0,1,63082.88,stay
112,15665790,Rowntree,Germany,Male,538,39,7,108055.1,2,1,0,27231.26,stay
113,15715951,Thorpe,France,Male,562,42,2,100238.35,1,0,0,86797.41,stay
114,15591100,Chiemela,Spain,Male,675,36,9,106190.55,1,0,1,22994.32,stay
115,15609618,Fanucci,Germany,Male,721,28,9,154475.54,2,0,1,101300.94,leave
116,15675522,Ko,Germany,Female,628,30,9,132351.29,2,1,1,74169.13,stay
117,15705512,Welch,Germany,Female,668,37,6,167864.4,1,1,0,115638.29,stay
118,15698028,Duncan,France,Female,506,41,1,0,2,1,0,31766.3,stay
119,15661670,Chidozie,Germany,Female,524,31,8,107818.63,1,1,0,199725.39,leave
120,15600781,Wu,Germany,Male,699,34,4,185173.81,2,1,0,120834.48,stay
121,15682472,Culbreth,France,Male,828,34,8,129433.34,2,0,0,38131.77,stay
122,15580203,Kennedy,Spain,Male,674,39,6,120193.42,1,0,0,100130.95,stay
123,15690673,Cameron,France,Female,656,39,6,0,2,1,0,141069.88,stay
124,15760085,Calabresi,Germany,Female,684,48,10,126384.42,1,1,1,198129.36,stay
125,15779659,Zetticci,France,Female,625,28,3,0,1,0,0,183646.41,stay
126,15627360,Fuller,France,Male,432,42,9,152603.45,1,1,0,110265.24,leave
127,15671137,MacDonald,France,Female,549,52,1,0,1,0,1,8636.05,leave
128,15782688,Piccio,Germany,Male,625,56,0,148507.24,1,1,0,46824.08,leave
129,15575492,Kennedy,France,Female,828,41,7,0,2,1,0,171378.77,stay
130,15591607,Fernie,France,Male,770,24,9,101827.07,1,1,0,167256.35,stay
131,15740404,He,France,Female,758,34,3,0,2,1,1,124226.16,stay
132,15718369,Kaodilinakachukwu,Germany,Female,795,33,9,130862.43,1,1,1,114935.21,stay
133,15677871,Cocci,France,Male,687,38,9,122570.87,1,1,1,35608.88,stay
134,15642004,Alekseeva,France,Male,686,25,1,0,2,0,1,16459.37,stay
135,15712543,Chinweike,Germany,Male,789,39,7,124828.46,2,1,1,124411.08,stay
136,15584518,Arthur,Germany,Female,589,50,5,144895.05,2,1,1,34941.23,stay
137,15802381,Li,Germany,Female,461,34,5,63663.93,1,0,1,167784.28,stay
138,15610156,Ma,France,Male,637,40,2,133463.1,1,0,1,93165.34,stay
139,15594408,Chia,Spain,Female,584,48,2,213146.2,1,1,0,75161.25,leave
140,15640905,Vasin,Spain,Female,579,35,1,129490.36,2,0,1,8590.83,leave
141,15698932,Groves,Germany,Male,756,44,10,137452.09,1,1,0,189543.9,stay
142,15724944,Tien,France,Male,663,34,7,0,2,1,1,180427.24,stay
143,15628145,Forwood,France,Female,682,43,5,125851.93,1,1,1,193318.33,stay
144,15713483,Greeves,Spain,Male,793,52,2,0,1,1,0,159123.82,leave
145,15612350,Taylor,France,Female,691,31,5,40915.55,1,1,0,126213.84,leave
146,15800703,Madukwe,Spain,Female,485,21,5,113157.22,1,1,1,54141.5,stay
147,15705707,Bennelong,Spain,Female,635,29,8,138296.94,2,1,0,141075.51,stay
148,15754105,Olisanugo,France,Male,650,37,5,106967.18,1,0,0,24495.03,stay
149,15703264,Chukwufumnanya,France,Male,735,44,9,120681.63,1,1,0,74836.34,stay
150,15794413,Harris,France,Male,416,32,0,0,2,0,1,878.87,stay
151,15650237,Morgan,Spain,Female,754,32,7,0,2,1,0,89520.75,stay
152,15759618,Alexeeva,France,Female,535,48,9,0,1,1,0,149892.79,leave
153,15811589,Metcalfe,Spain,Male,716,42,8,0,2,1,0,180800.42,stay
154,15689044,Humphries,France,Male,539,37,2,127609.59,1,1,0,98646.22,stay
155,15709368,Milne,France,Female,614,43,6,0,2,1,1,109041.53,stay
156,15679145,Chou,Spain,Male,706,57,7,0,1,1,0,17941.16,leave
157,15655007,Li,France,Female,758,33,7,0,2,0,0,82996.47,stay
158,15623595,Clayton,Spain,Female,586,28,2,0,2,1,1,92067.35,stay
159,15589975,Maclean,France,Female,646,73,6,97259.25,1,0,1,104719.66,stay
160,15804017,Chigolum,Germany,Female,631,33,4,123246.7,1,0,0,112687.57,stay
161,15692132,Wilkinson,Spain,Female,717,22,6,101060.25,1,0,1,84699.56,stay
162,15641122,Wei,France,Male,684,30,2,0,2,1,0,83473.82,stay
163,15630910,Treacy,France,Female,800,49,7,108007.36,1,0,0,47125.11,stay
164,15680772,Hu,Spain,Female,721,36,2,0,2,1,1,106977.8,stay
165,15658929,Taverner,Spain,Male,683,29,0,133702.89,1,1,0,55582.54,leave
166,15585388,Sherman,Germany,Male,660,31,9,125189.75,2,1,1,139874.43,stay
167,15724623,Taubman,Germany,Female,704,24,7,113034.22,1,1,0,162503.48,leave
168,15588537,Robinson,Spain,Female,615,41,9,109013.23,1,1,0,196499.96,stay
169,15574692,Pinto,Spain,Female,667,39,2,0,2,1,0,40721.24,leave
170,15611325,Wood,Germany,Male,682,24,9,57929.81,2,0,0,53134.3,stay
171,15587562,Hawkins,France,Female,484,29,4,130114.39,1,1,0,164017.89,stay
172,15613172,Sun,Germany,Male,628,27,5,95826.49,2,1,0,155996.96,stay
173,15651022,Yost,Germany,Male,480,44,10,129608.57,1,1,0,5472.7,leave
174,15586310,Ting,France,Male,578,30,4,169462.09,1,1,0,112187.11,stay
175,15625524,Rowe,France,Male,512,40,5,0,2,1,1,146457.83,stay
176,15755209,Fu,Spain,Female,484,35,7,133868.21,1,1,1,27286.1,stay
177,15645248,Ho,France,Female,510,30,0,0,2,1,1,130553.47,stay
178,15790355,Okechukwu,Germany,Male,606,36,5,190479.48,2,0,0,179351.89,stay
179,15762615,Campbell,Spain,Female,597,40,8,101993.12,1,0,1,94774.12,stay
180,15625426,Ashbolt,Germany,Female,754,55,3,161608.81,1,1,0,8080.85,leave
181,15716334,Rozier,Spain,Female,850,45,2,122311.21,1,1,1,19482.5,stay
182,15789669,Hsia,France,Male,510,65,2,0,2,1,1,48071.61,stay
183,15621075,Ogbonnaya,Germany,Female,778,45,1,162150.42,2,1,0,174531.27,stay
184,15810845,T'ang,France,Male,636,42,2,0,2,1,1,55470.78,stay
185,15719377,Cocci,France,Female,804,50,4,0,1,1,1,8546.87,leave
186,15654506,Chang,France,Male,514,32,8,0,2,1,0,95857.18,stay
187,15771977,T'ao,France,Female,730,39,1,99010.67,1,1,0,194945.8,stay
188,15708710,Ford,Spain,Female,525,37,0,0,1,0,1,131521.72,stay
189,15726676,Marshall,Spain,Male,616,30,5,0,2,0,1,196108.51,stay
190,15587421,Tsai,Germany,Female,687,34,7,111388.18,2,1,0,148564.76,stay
191,15726931,Onwumelu,France,Female,715,41,8,56214.85,2,0,0,92982.61,leave
192,15771086,Graham,France,Female,512,36,3,84327.77,2,1,0,17675.36,stay
193,15756850,Golovanov,France,Male,479,40,1,0,2,0,0,114996.43,stay
194,15702741,Potts,France,Male,601,32,8,93012.89,1,1,0,86957.42,stay
195,15679200,Crawford,Spain,Male,580,29,9,61710.44,2,1,0,128077.8,stay
196,15594815,Aleshire,France,Male,807,35,3,174790.15,1,1,1,600.36,stay
197,15635905,Moran,Spain,Female,616,32,6,0,2,1,1,43001.46,stay
198,15777892,Samsonova,Germany,Male,721,37,3,107720.64,1,1,1,158591.12,stay
199,15656176,Jenkins,France,Male,501,57,10,0,2,1,1,47847.19,stay
200,15811127,Volkov,France,Male,521,35,6,96423.84,1,1,0,10488.44,stay
201,15604482,Chiemezie,Spain,Male,850,30,2,141040.01,1,1,1,5978.2,stay
202,15622911,Jude,France,Male,759,42,4,105420.18,1,0,1,121409.06,stay
203,15600974,He,Spain,Male,516,50,5,0,1,0,1,146145.93,leave
204,15727868,Onuora,France,Female,711,38,2,129022.06,2,1,1,14374.86,leave
205,15627801,Ginikanwa,Spain,Male,512,33,3,176666.62,1,1,0,94670.77,stay
206,15773039,Ku,France,Male,550,37,3,0,1,1,1,179670.31,stay
207,15755262,McDonald,Spain,Female,608,41,3,89763.84,1,0,0,199304.74,leave
208,15679531,Collins,France,Male,618,34,5,134954.53,1,1,1,151954.39,stay
209,15684181,Hackett,France,Male,643,45,5,0,1,1,0,142513.5,leave
210,15612087,Dike,France,Male,671,45,2,106376.85,1,0,1,158264.62,stay
211,15752047,Trevisano,Germany,Male,689,33,2,161814.64,2,1,0,169381.9,stay
212,15624592,Tan,France,Male,603,31,8,0,2,1,1,169915.02,stay
213,15573152,Glassman,France,Female,620,41,9,0,2,0,0,88852.47,stay
214,15594917,Miller,France,Female,676,34,1,63095.01,1,1,1,40645.81,stay
215,15785542,Kornilova,Germany,Male,572,26,4,118287.01,2,0,0,60427.3,stay
216,15723488,Watson,Germany,Male,668,47,7,106854.21,1,0,1,157959.02,leave
217,15680920,Marchesi,France,Male,695,46,7,49512.55,1,1,0,133007.34,stay
218,15786308,Millar,Spain,Female,730,33,9,0,2,0,0,176576.62,stay
219,15659366,Shih,France,Male,807,43,1,105799.32,2,1,0,34888.04,leave
220,15774854,Fuller,France,Male,592,54,8,0,1,1,1,28737.71,leave
221,15725311,Hay,France,Female,726,31,9,114722.05,2,1,1,98178.57,stay
222,15787155,Yang,Spain,Male,514,30,7,0,1,0,1,125010.24,stay
223,15727829,McIntyre,France,Male,567,42,2,0,2,1,1,167984.61,stay
224,15733247,Stevenson,France,Male,850,33,10,0,1,1,0,4861.72,leave
225,15568748,Poole,Germany,Male,671,45,6,99564.22,1,1,1,108872.45,leave
226,15699029,Bagley,France,Male,670,37,4,170557.91,2,1,0,198252.88,stay
227,15774393,Ch'ien,France,Female,694,30,9,0,2,1,1,26960.31,stay
228,15676895,Cattaneo,Germany,Female,547,39,6,74596.15,3,1,1,85746.52,leave
229,15637753,O'Sullivan,Germany,Male,751,50,2,96888.39,1,1,0,77206.25,leave
230,15605461,Lucas,Germany,Female,594,29,3,130830.22,1,1,0,61048.53,stay
231,15808473,Ringrose,France,Male,673,72,1,0,2,0,1,111981.19,stay
232,15627000,Freeman,France,Male,610,40,0,0,2,1,0,62232.6,stay
233,15787174,Sergeyev,France,Female,512,37,1,0,2,0,1,156105.03,stay
234,15723886,Fiore,Germany,Male,767,20,3,119714.25,2,0,1,150135.38,stay
235,15704769,Smith,France,Female,585,67,5,113978.97,2,0,1,93146.11,stay
236,15772896,Dumetochukwu,Germany,Male,763,42,6,100160.75,1,1,0,33462.94,leave
237,15711540,Pacheco,France,Female,712,29,2,0,1,1,1,144375,stay
238,15764866,Synnot,Germany,Female,539,43,3,116220.5,3,1,0,55803.96,leave
239,15794056,Johnston,France,Female,668,46,2,0,3,1,0,89048.46,leave
240,15795149,Stevens,France,Male,703,28,2,81173.83,2,0,1,162812.16,stay
241,15812009,Grant,Spain,Male,662,38,4,0,2,1,0,136259.65,stay
242,15651001,Tsao,Germany,Female,725,39,5,116803.8,1,1,0,124052.97,stay
243,15813844,Barnes,France,Male,703,37,8,105961.68,2,0,1,74158.8,stay
244,15596175,McIntosh,Germany,Male,659,67,6,117411.6,1,1,1,45071.09,leave
245,15576269,Madison,Spain,Male,523,34,7,0,2,1,0,62030.06,stay
246,15797219,Ifesinachi,France,Female,635,40,10,123497.58,1,1,0,131953.23,leave
247,15685500,Glazkov,Germany,Male,772,26,7,152400.51,2,1,0,79414,stay
248,15599792,Dimauro,France,Female,545,26,1,0,2,1,1,199638.56,stay
249,15657566,Wieck,Germany,Male,634,24,8,103097.85,1,1,1,157577.29,stay
250,15772423,Liao,Germany,Male,739,54,8,126418.14,1,1,0,134420.75,leave
251,15628112,Hughes,Germany,Female,771,36,5,77846.9,1,0,0,99805.99,stay
252,15753754,Morrison,Spain,Female,587,34,1,0,2,1,1,97932.68,stay
253,15793726,Matveyeva,France,Female,681,79,0,0,2,0,1,170968.99,stay
254,15694717,Ku,Germany,Male,544,37,2,79731.91,1,1,1,57558.95,stay
255,15665834,Cheatham,Spain,Male,696,28,8,0,1,0,0,176713.47,stay
256,15765297,Yao,Spain,Male,766,41,0,0,2,0,1,34283.23,stay
257,15636684,Kirkland,France,Male,727,34,10,0,2,1,1,198637.34,stay
258,15592979,Rose,Germany,Female,671,34,6,37266.67,2,0,0,156917.12,stay
259,15750803,Jess,France,Female,693,30,6,127992.25,1,1,1,50457.2,stay
260,15607178,Welch,Germany,Male,850,38,3,54901.01,1,1,1,140075.55,stay
261,15713853,Ifeajuna,Germany,Male,732,42,9,108748.08,2,1,1,65323.11,stay
262,15673481,Morton,Spain,Female,726,48,6,99906.19,1,1,0,64323.24,stay
263,15686776,Rossi,France,Female,557,32,6,184686.41,2,1,0,14956.44,stay
264,15673693,Reppert,France,Female,682,26,0,110654.02,1,0,1,111879.21,stay
265,15700696,Kang,Spain,Male,738,31,9,79019.8,1,1,1,18606.23,stay
266,15813163,Ch'iu,Spain,Female,531,36,9,99240.51,1,1,0,123137.01,stay
267,15653857,Wallis,France,Male,498,34,2,0,2,1,1,148528.24,stay
268,15777076,Clark,France,Male,651,36,7,0,2,1,0,13898.31,stay
269,15717398,Fielding,Spain,Female,549,39,7,0,1,0,0,81259.25,leave
270,15799217,Zetticci,Germany,Female,791,35,7,52436.2,1,1,0,161051.75,stay
271,15787071,Dulhunty,Spain,Male,650,41,9,0,2,0,1,191599.67,stay
272,15619955,Bevington,Germany,Male,733,34,3,100337.96,3,1,0,48559.19,leave
273,15796505,Boyle,Germany,Female,811,34,1,149297.19,2,1,1,186339.74,stay
274,15725166,Newton,France,Male,707,30,8,0,2,1,0,33159.37,stay
275,15800116,Bowman,Germany,Male,712,28,4,145605.44,1,0,1,93883.53,stay
276,15758685,Dubinina,Spain,Female,706,37,7,0,2,1,1,110899.3,stay
277,15694456,Toscani,France,Male,756,62,3,0,1,1,1,11199.04,leave
278,15767339,Chiazagomekpere,France,Female,777,53,10,0,2,1,0,189992.97,stay
279,15683562,Allen,France,Male,646,35,6,84026.86,1,0,1,164255.69,stay
280,15782210,K'ung,France,Male,714,46,1,0,1,1,0,152167.79,leave
281,15668893,Wilsmore,France,Male,782,39,8,0,2,1,1,33949.67,stay
282,15669169,Hargreaves,Spain,Male,775,29,10,0,2,1,1,68143.93,stay
283,15643024,Huang,Germany,Male,479,35,4,138718.92,1,1,1,47251.79,leave
284,15699389,Ch'ien,France,Male,807,42,7,118274.71,1,1,1,25885.72,stay
285,15708608,Wallwork,France,Female,799,22,8,174185.98,2,0,1,192633.85,stay
286,15626144,Chu,France,Male,675,40,7,113208.86,2,1,0,34577.36,stay
287,15573112,Kang,Spain,Male,602,29,5,103907.28,1,1,0,161229.84,stay
288,15790678,Davidson,France,Female,475,32,8,119023.28,1,1,0,100816.29,stay
289,15727556,O'Donnell,Spain,Female,744,26,5,166297.89,1,1,1,181694.44,stay
290,15697307,Nnachetam,Spain,Male,588,34,10,0,2,1,0,79078.91,stay
291,15652266,Chidiebele,Germany,Male,703,42,9,63227,1,0,1,137316.32,stay
292,15607098,Ahmed,Spain,Female,747,41,5,94521.17,2,1,0,194926.86,stay
293,15655774,Booth,France,Male,583,27,7,0,2,1,0,51285.49,stay
294,15590241,Chuang,Spain,Female,750,34,9,112822.26,1,0,0,150401.53,leave
295,15785819,Shao,France,Male,681,38,3,0,2,1,1,112491.96,stay
296,15723654,Tsao,France,Male,773,25,2,135903.33,1,1,0,73656.38,stay
297,15774510,Tien,France,Female,714,31,4,125169.26,1,1,1,106636.89,stay
298,15684173,Chang,Spain,Female,687,44,7,0,3,1,0,155853.52,leave
299,15650068,Johnson,France,Male,511,58,0,149117.31,1,1,1,162599.51,stay
300,15811490,French,France,Male,627,33,5,0,2,1,1,103737.82,stay
301,15803976,Efremov,France,Female,694,31,10,0,2,1,0,160990.27,stay
302,15682541,Hartley,Spain,Female,616,36,6,132311.71,1,0,0,15462.84,stay
303,15695699,Calabrese,France,Male,687,35,8,0,2,1,0,10334.05,stay
304,15624188,Chiu,France,Female,712,33,6,0,2,1,1,190686.16,stay
305,15812191,Brennan,France,Male,553,33,4,118082.89,1,0,0,94440.45,stay
306,15636673,Onwuatuegwu,France,Male,667,31,1,119266.69,1,1,1,28257.63,stay
307,15594898,Hewitt,France,Male,731,43,2,0,1,1,1,170034.95,leave
308,15660211,Shih,Germany,Male,629,35,7,156847.29,2,1,0,31824.29,stay
309,15773972,Balashov,France,Male,614,50,4,137104.47,1,1,0,127166.49,leave
310,15746726,Doyle,Germany,Male,438,31,8,78398.69,1,1,0,44937.01,stay
311,15712287,Pokrovskii,France,Female,652,80,4,0,2,1,1,188603.07,stay
312,15702919,Collins,Germany,Male,729,30,6,63669.42,1,1,0,145111.37,stay
313,15674398,Russo,France,Male,642,38,3,0,2,0,0,171463.83,stay
314,15797960,Skinner,Germany,Female,806,59,0,135296.33,1,1,0,182822.5,stay
315,15631868,Robertson,Spain,Male,744,36,2,153804.44,1,1,1,87213.33,stay
316,15581539,Atkinson,Spain,Male,474,37,3,0,2,0,0,57175.32,stay
317,15662736,Doyle,France,Male,559,49,2,147069.78,1,1,0,120540.83,leave
318,15666252,Ritchie,Spain,Male,706,42,9,0,2,1,1,28714.34,stay
319,15677512,McEncroe,Spain,Female,628,22,3,0,1,1,0,85426.28,stay
320,15626114,Pearson,France,Male,429,24,4,95741.75,1,1,0,46170.75,stay
321,15810834,Gordon,Spain,Female,525,57,2,145965.33,1,1,1,64448.36,stay
322,15678910,Ts'ai,France,Female,680,30,8,141441.75,1,1,1,16278.97,stay
323,15694408,Lung,France,Male,749,40,1,139290.41,1,1,0,182855.42,leave
324,15585215,Yuan,France,Female,763,31,4,0,2,0,0,50404.72,stay
325,15682757,Pardey,France,Male,734,30,3,0,2,1,0,107640.25,stay
326,15736601,Tai,France,Male,716,35,4,144428.87,1,1,0,134132.65,stay
327,15601848,Scott,France,Male,594,35,2,0,2,1,0,103480.69,stay
328,15736008,Hunter,France,Female,644,46,9,95441.27,1,1,0,108761.05,leave
329,15669064,Mazzanti,Germany,Male,671,35,1,144848.74,1,1,1,179012.3,stay
330,15624528,L?,Germany,Male,664,26,7,116244.14,2,1,1,95145.14,stay
331,15598493,Beach,France,Male,656,50,7,0,2,0,1,72143.44,stay
332,15601274,Hsieh,Spain,Female,667,40,1,146502.07,1,1,0,19162.89,stay
333,15702669,Faulkner,Germany,Male,663,44,2,117028.6,2,0,1,144680.18,stay
334,15728669,Knowles,Germany,Female,584,30,8,112013.81,1,1,0,177772.03,leave
335,15742668,Day,Spain,Female,626,37,6,108269.37,1,1,0,5597.94,stay
336,15697441,Hsueh,France,Male,485,29,7,182123.79,1,1,0,116828.51,leave
